algo,algo_id,n_procs,avg_burst,std_burst,avg_arrival_gap,max_priority,quantum,ctx_overhead,avg_waiting,avg_turnaround,avg_response,cpu_utilization,throughput,context_switches
fcfs,0,9,8.444444,4.058218,2.500000,9,0,0,27.666667,36.111111,27.666667,1.000000,0.118421,0
sjf,1,9,8.444444,4.058218,2.500000,9,0,0,17.444444,25.888889,17.444444,1.000000,0.118421,0
rr,2,9,8.444444,4.058218,2.500000,9,1,0,34.888889,43.333333,3.111111,1.000000,0.118421,70
priority,3,9,8.444444,4.058218,2.500000,9,0,0,20.888889,29.333333,20.888889,1.000000,0.118421,0
fcfs,0,6,12.833333,5.550275,2.400000,9,0,0,21.833333,34.666667,21.833333,1.000000,0.077922,0
sjf,1,6,12.833333,5.550275,2.400000,9,0,0,20.166667,33.000000,20.166667,1.000000,0.077922,0
rr,2,6,12.833333,5.550275,2.400000,9,1,0,36.500000,49.333333,1.666667,1.000000,0.077922,70
priority,3,6,12.833333,5.550275,2.400000,9,0,0,23.500000,36.333333,23.500000,1.000000,0.077922,0
fcfs,0,10,10.600000,6.374951,2.777778,9,0,0,21.300000,31.900000,21.300000,1.000000,0.094340,0
sjf,1,10,10.600000,6.374951,2.777778,9,0,0,17.500000,28.100000,17.500000,1.000000,0.094340,0
rr,2,10,10.600000,6.374951,2.777778,9,2,0,33.000000,43.600000,3.900000,1.000000,0.094340,52
priority,3,10,10.600000,6.374951,2.777778,9,0,0,32.400000,43.000000,32.400000,1.000000,0.094340,0
fcfs,0,2,7.000000,1.000000,1.000000,2,0,0,2.500000,9.500000,2.500000,1.000000,0.142857,0
sjf,1,2,7.000000,1.000000,1.000000,2,0,0,2.500000,9.500000,2.500000,1.000000,0.142857,0
rr,2,2,7.000000,1.000000,1.000000,2,4,0,4.500000,11.500000,1.500000,1.000000,0.142857,3
priority,3,2,7.000000,1.000000,1.000000,2,0,0,2.500000,9.500000,2.500000,1.000000,0.142857,0
fcfs,0,4,11.250000,5.494315,1.333333,9,0,0,12.250000,23.500000,12.250000,1.000000,0.088889,0
sjf,1,4,11.250000,5.494315,1.333333,9,0,0,10.000000,21.250000,10.000000,1.000000,0.088889,0
rr,2,4,11.250000,5.494315,1.333333,9,2,0,17.750000,29.000000,1.500000,1.000000,0.088889,20
priority,3,4,11.250000,5.494315,1.333333,9,0,0,16.000000,27.250000,16.000000,1.000000,0.088889,0
fcfs,0,3,16.333333,3.299832,0.500000,8,0,0,18.333333,34.666667,18.333333,1.000000,0.061224,0
sjf,1,3,16.333333,3.299832,0.500000,8,0,0,16.666667,33.000000,16.666667,1.000000,0.061224,0
rr,2,3,16.333333,3.299832,0.500000,8,4,0,27.333333,43.666667,3.333333,1.000000,0.061224,12
priority,3,3,16.333333,3.299832,0.500000,8,0,0,18.333333,34.666667,18.333333,1.000000,0.061224,0
